distance_km,prep_time_min,traffic_level,rain,delivery_min
0.56,15,2,0,25.9
9.16,12,2,0,50.2
9.82,14,3,1,60.1
2.07,19,3,0,36.7
5.32,22,1,0,38.8
9.88,19,3,0,62.0
0.66,8,2,1,31.8
7.73,25,3,1,65.9
9.62,28,3,1,71.3
6.4,8,2,0,35.4
8.85,11,3,0,49.6
3.1,9,1,0,21.4
2.78,26,1,0,37.5
4.68,28,3,0,49.4
2.56,6,3,0,30.6
4.48,13,3,0,39.4
11.4,10,2,0,56.5
7.09,17,1,0,46.7
4.41,28,2,0,44.6
3.62,7,3,0,33.5
11.45,9,1,1,55.0
5.61,17,1,0,40.8
11.77,18,2,0,60.0
6.43,24,2,1,52.6
6.49,16,2,0,41.4
10.81,9,2,0,50.2
9.04,14,2,0,52.7
7.18,30,2,0,62.6
5.41,24,2,0,44.3
10.6,8,3,0,59.0
5.23,25,2,0,47.5
11.11,13,3,0,58.7
1.29,25,2,0,34.0
5.44,5,2,0,33.9
6.47,27,2,0,50.3
11.44,9,3,0,64.7
3.39,16,2,0,30.5
9.77,22,2,0,59.9
8.28,18,2,0,52.6
8.75,9,2,1,51.4
7.74,8,3,0,48.2
11.67,12,2,0,60.6
4.33,6,1,0,27.9
5.08,10,2,0,37.7
2.83,8,3,0,34.3
1.08,17,1,0,19.5
2.95,14,1,0,32.1
11.03,20,1,0,63.1
10.16,12,3,1,65.8
1.79,6,1,0,22.2
7.44,13,2,0,42.4
6.01,24,2,0,48.3
7.34,11,2,0,42.3
8.08,15,1,0,43.5
4.03,24,3,1,54.6
11.56,15,3,0,62.2
5.86,27,2,0,49.8
7.72,28,3,0,56.0
7.81,13,1,0,42.5
2.61,23,2,1,43.2
1.21,11,3,1,33.2
5.23,8,2,0,34.0
9.29,16,1,0,54.1
9.88,20,3,0,59.2
8.89,28,3,0,61.7
1.8,9,2,0,23.8
11.0,23,1,1,67.7
9.72,17,2,1,66.3
10.59,8,2,0,53.3
6.52,29,2,0,51.7
11.03,22,3,0,66.0
1.04,8,2,0,25.5
0.85,28,3,0,37.2
0.73,8,3,0,29.7
3.41,7,3,0,37.3
3.36,13,1,1,34.7
2.66,28,1,0,38.3
7.02,6,3,0,46.1
0.95,28,3,0,43.6
7.29,20,2,1,52.9
2.41,7,1,0,25.2
8.3,19,3,0,55.7
0.74,16,1,0,21.0
4.07,19,2,0,39.6
11.29,23,2,0,63.8
6.69,22,3,1,56.7
9.83,30,3,0,64.6
8.07,9,1,0,38.7
7.52,25,3,0,61.8
2.7,15,3,1,47.1
7.11,25,1,0,50.1
0.96,27,1,0,33.7
9.72,30,2,1,68.2
11.54,12,2,0,57.8
10.32,16,1,0,53.3
1.08,29,3,0,38.1
4.39,29,2,0,44.4
4.16,14,1,0,32.4
1.8,29,3,1,47.7
7.71,15,1,0,41.2
9.67,14,3,0,58.6
4.11,24,3,0,46.3
10.42,17,1,0,56.1
9.67,16,3,0,59.0
1.99,15,1,0,25.4
9.32,16,2,0,54.0
10.65,8,1,0,48.0
2.77,7,1,0,21.7
7.1,24,1,1,52.3
7.85,19,2,0,53.0
7.51,22,2,0,53.6
1.61,25,1,0,34.7
8.1,11,1,0,38.2
7.77,11,2,0,44.7
9.97,12,3,0,56.3
9.74,13,2,0,53.5
4.26,24,1,0,37.9
8.8,14,2,1,55.0
10.47,13,1,1,58.6
10.77,21,2,0,61.9
2.36,10,2,0,25.3
0.81,8,1,0,21.2
7.98,22,3,0,60.1
2.97,24,3,1,47.5
6.98,12,1,0,41.7
11.37,21,2,0,61.5
4.86,6,1,0,32.0
3.41,15,3,0,38.4
5.75,19,2,0,42.6
8.06,11,2,1,51.1
1.66,14,1,0,22.5
4.88,20,1,0,38.8
2.04,20,1,0,30.0
8.12,9,2,1,51.0
10.05,23,3,0,63.3
4.83,7,2,0,24.8
4.77,29,1,1,49.6
6.7,10,3,1,46.6
2.97,11,2,1,36.9
3.35,10,3,1,43.8
4.29,30,1,0,43.7
5.76,12,1,0,34.9
1.44,20,1,0,27.2
9.16,30,3,0,66.2
7.16,29,2,1,59.6
3.95,6,1,0,24.9
1.39,18,2,0,28.1
9.28,20,3,0,63.3
2.01,23,2,0,35.5
2.03,13,2,0,31.5
2.0,13,2,0,28.4
1.43,5,1,1,23.6
10.92,6,2,0,51.7
3.6,19,2,0,39.1
4.02,7,1,1,34.8
10.08,10,2,1,58.2
7.63,13,2,0,44.8
2.65,7,3,1,34.9
5.5,6,1,1,40.8
10.67,28,2,0,65.0
4.82,16,1,0,34.8
8.68,10,3,1,61.2
1.61,23,3,1,46.8
8.86,5,2,0,46.5
9.43,11,1,0,45.6
10.0,29,3,1,79.8
8.25,27,1,0,54.3
4.76,21,2,0,44.2
1.24,7,2,0,22.4
6.47,13,2,0,39.4
9.21,6,1,1,44.8
2.69,10,2,0,30.3
3.56,6,2,0,30.3
6.67,8,2,0,39.7
9.11,21,2,0,53.4
10.81,8,1,1,50.8
1.95,9,1,0,21.3
2.62,28,2,0,37.1
9.69,13,3,1,64.8
7.91,13,1,0,46.1
8.79,7,1,0,49.1
11.96,25,2,1,75.4
11.3,22,1,0,58.0
10.19,19,1,1,57.5
9.44,20,3,1,57.7
5.04,8,2,0,33.7
7.87,12,3,0,50.4
2.62,20,3,0,42.1
9.23,29,2,0,63.4
9.21,25,2,0,60.7
8.79,21,1,0,51.6
5.62,18,1,0,41.0
4.85,5,1,0,32.1
5.33,27,2,0,45.8
0.88,7,2,1,26.0
10.21,8,1,1,49.1
6.74,22,1,0,49.4
4.96,25,3,0,53.5
6.8,25,1,0,49.4
8.8,16,1,0,44.9
4.89,9,1,0,31.6
10.05,6,2,1,54.4
11.07,26,2,0,65.8
4.96,29,2,0,48.2
2.08,11,1,1,30.6
9.24,27,1,0,55.4
11.92,15,1,1,64.5
2.2,13,1,0,26.1
8.7,18,3,0,56.5
9.99,5,1,1,49.6
11.09,16,2,1,63.6
1.92,10,3,1,38.6
1.56,23,2,0,33.5
11.86,18,3,1,73.3
1.84,27,2,0,36.7
2.53,27,2,0,36.1
7.11,13,3,0,51.4
5.63,12,3,0,41.2
9.13,28,2,0,62.6
2.69,18,1,0,31.3
11.02,7,1,1,50.3
3.0,6,2,0,25.2
9.34,30,2,1,67.1
1.28,19,2,0,28.7
5.94,6,1,0,29.6
0.87,18,1,1,31.9
4.11,18,2,1,43.7
4.09,16,3,0,42.6
8.78,29,2,0,59.4
5.73,29,3,0,56.0
1.15,8,3,1,31.0
11.95,9,1,0,53.0
10.72,15,3,1,68.5
11.04,26,1,1,66.9
3.34,21,1,0,33.1
5.03,23,3,1,51.9
3.11,19,1,0,32.6
1.94,10,3,0,32.0
0.88,25,1,0,28.5
6.29,5,2,0,35.2
1.92,22,1,0,31.8
2.53,10,3,0,39.1
10.4,17,3,0,61.1
6.07,29,3,0,57.1
2.61,18,3,1,44.8
8.2,6,3,1,47.0
3.56,16,3,0,40.3
6.56,22,2,1,52.8
3.75,6,1,0,29.2
6.44,11,1,0,36.7
7.73,5,2,1,45.2
6.67,19,2,0,46.9
5.05,15,3,0,44.4
9.59,18,2,1,59.9
10.54,12,1,0,50.5
2.56,21,3,0,36.8
2.07,9,3,1,35.8
1.8,28,1,0,35.9
11.77,29,1,1,76.0
11.33,17,2,0,62.3
3.15,17,3,1,45.6
11.65,26,1,1,71.7
2.89,12,1,0,29.5
6.32,25,3,0,58.6
6.22,12,2,0,44.2
11.02,23,2,0,63.2
0.97,13,3,0,30.7
4.13,20,3,0,44.9
7.4,28,1,0,52.1
1.26,6,1,1,24.0
3.22,25,1,0,34.5
5.85,19,2,0,39.6
10.63,14,2,0,54.8
9.25,14,3,0,51.3
10.03,7,1,1,51.5
9.25,11,2,0,50.2
8.64,21,2,0,50.6
10.27,7,1,0,48.3
8.34,22,1,0,52.5
8.96,29,2,1,66.8
3.97,30,3,0,54.6
2.43,27,3,0,48.4
9.2,25,3,0,60.4
2.41,9,1,0,26.1
11.07,29,2,1,74.2
7.36,10,1,0,40.6
4.29,27,1,0,43.4
11.27,27,2,1,70.6
2.28,21,3,1,43.3
6.42,18,1,0,39.7
1.55,10,1,1,25.1
11.6,18,3,0,66.0
7.12,12,2,0,40.6
9.74,8,3,0,51.4
3.74,8,1,1,33.9
9.72,25,3,0,64.8
8.58,28,3,0,64.4
7.9,9,3,0,44.2
11.43,5,1,0,46.9
5.49,12,2,0,37.8
5.27,8,2,1,41.5
8.46,10,1,1,47.0
10.1,20,3,0,65.2
4.35,16,3,1,47.8
8.2,16,3,0,54.5
2.9,10,3,1,39.6
6.84,22,1,0,47.5
9.35,12,3,1,59.7
1.25,15,2,0,30.8
8.87,17,3,0,58.3
0.68,28,2,1,40.6
11.52,11,3,0,61.6
5.89,23,2,0,48.9
5.2,13,1,0,37.3
8.79,27,2,1,67.1
6.52,15,3,0,49.5
8.9,18,1,1,57.2
1.47,27,2,0,36.8
6.97,22,2,0,53.4
6.92,7,2,0,40.3
11.22,8,1,0,45.0
0.96,30,1,1,41.5
5.71,6,3,1,46.0
7.76,13,1,0,39.8
6.83,29,2,0,53.9
1.35,5,2,0,19.6
7.32,9,3,0,52.4
3.06,10,2,1,37.1
2.75,7,3,1,33.3
10.6,17,2,0,59.7
2.78,20,2,1,40.5
5.72,13,3,0,49.6
9.13,8,2,0,45.3
8.63,25,3,1,61.5
6.86,25,2,0,52.1
9.78,19,3,0,60.4
5.86,8,2,0,36.7
7.63,19,3,0,49.2
9.92,21,2,1,65.4
8.3,16,1,0,50.5
7.88,27,1,0,47.4
5.17,15,2,0,43.1
6.92,18,2,1,51.6
5.05,8,1,1,42.4
9.06,19,1,1,57.2
4.87,24,2,0,44.6
5.87,23,1,0,46.1
9.19,11,3,0,55.6
6.29,30,3,0,56.1
4.39,23,1,0,40.5
10.01,16,3,0,58.8
4.88,15,3,0,39.0
10.21,24,3,0,70.9
9.53,9,3,0,53.1
5.64,21,3,0,48.2
8.7,23,2,0,57.2
0.9,18,3,0,29.2
4.98,27,3,1,53.7
10.39,17,2,1,61.9
7.16,17,2,0,46.3
6.91,12,2,1,49.3
8.14,28,2,0,60.6
8.29,13,2,1,52.9
7.21,22,2,0,52.3
5.34,15,3,0,46.4
2.61,28,1,1,39.3
3.87,29,2,0,45.8
3.87,6,1,0,23.7
5.45,30,1,1,54.8
11.99,20,1,0,61.5
4.55,7,1,1,34.4
5.64,17,3,0,43.8
4.77,6,2,0,33.4
7.19,19,2,0,47.1
11.4,10,2,0,58.0
10.72,14,1,1,57.7
4.84,13,3,0,40.0
3.57,20,3,0,45.0
10.67,26,2,0,66.2
6.18,28,1,0,46.1
8.38,13,1,1,53.0
1.34,19,3,0,34.4
10.47,5,3,0,53.5
4.1,14,3,1,46.2
6.19,29,2,0,50.6
2.78,8,2,0,27.1
5.33,27,3,0,52.3
10.02,21,2,0,62.9
10.02,12,3,1,66.7
5.95,24,1,0,43.6
9.33,12,2,0,55.1
5.77,27,1,0,45.5
4.79,7,3,0,39.0
6.78,8,1,0,38.6
2.82,24,2,0,39.5
4.14,16,2,0,43.7
8.63,9,3,0,51.8
9.36,18,2,1,57.6
1.15,12,1,0,24.8
8.93,19,3,1,63.1
9.9,24,2,0,59.9
5.62,26,2,1,46.7
1.22,6,2,0,24.6
8.35,20,3,1,65.0
3.33,30,1,0,42.0
7.9,16,3,0,55.9
4.83,24,2,1,54.7
7.83,7,1,0,38.9
3.47,27,3,0,49.3
5.98,20,2,0,44.1
6.53,27,3,0,55.5
7.76,25,1,0,53.1
2.84,27,3,0,45.9
11.56,6,1,0,46.6
3.83,23,3,0,46.3
4.02,10,3,0,37.1
3.45,12,3,1,40.5
1.28,13,2,0,27.9
5.36,20,3,0,47.2
9.38,21,1,1,54.5
8.66,28,3,0,60.9
2.75,5,1,0,26.4
2.07,10,3,0,27.7
4.2,14,2,0,37.1
9.33,25,1,0,56.9
6.11,19,2,1,52.8
11.12,18,2,0,57.5
8.05,24,1,1,55.5
7.64,21,1,1,53.4
9.33,12,3,0,57.3
9.13,7,3,0,49.8
4.45,17,1,0,32.1
3.46,27,2,0,45.2
5.53,20,3,0,51.5
6.13,6,3,1,47.9
2.13,16,2,0,29.9
5.58,15,3,1,52.2
7.86,20,2,0,52.0
2.06,20,1,0,31.7
2.09,29,2,0,36.6
2.5,13,1,0,26.7
3.76,15,3,0,39.6
11.56,20,1,0,56.3
0.8,27,3,1,44.7
2.61,23,2,0,37.5
2.4,17,3,0,36.1
5.96,25,2,0,50.1
0.67,17,1,0,19.8
5.77,29,2,0,51.0
2.37,12,2,0,30.6
3.6,8,2,1,37.0
9.61,26,1,0,59.6
2.62,12,1,0,23.1
7.6,26,1,0,46.9
5.17,20,2,0,44.0
5.3,18,1,0,39.5
9.89,7,2,0,54.9
2.35,25,1,0,35.3
11.12,7,2,0,51.2
10.78,29,3,0,72.9
8.19,27,2,0,55.2
1.07,13,3,0,26.7
8.13,8,3,0,55.5
7.4,27,3,0,59.9
9.38,17,1,0,52.1
2.96,8,3,0,34.4
11.46,17,1,0,61.3
10.69,11,1,0,51.2
1.82,15,3,0,37.0
4.12,21,2,1,43.8
0.87,28,2,0,31.8
10.06,25,2,1,70.9
11.02,9,1,1,59.4
11.88,17,1,0,59.4
7.54,17,1,0,45.2
8.16,30,2,1,65.1
8.3,7,1,0,38.8
7.06,18,3,0,56.0
11.45,28,2,0,69.7
7.49,15,1,1,49.9
4.36,12,3,0,40.9
6.4,19,1,0,45.0
0.71,13,2,0,26.3
8.83,28,2,1,67.3
8.48,7,2,1,47.8
5.34,10,3,0,42.9
